
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
596.787,0.968,-0.978,1.625176872e-08,2.106966312e-09,-5.281359e+01
598.766,1.039,-1.011,1.582106328e-08,1.985041476e-09,-4.983688e+01
600.785,0.869,-0.980,1.629204588e-08,2.2199166e-09,-5.584029e+01
602.343,0.743,-0.690,2.20352022e-08,2.81717964e-09,-7.086529e+01
603.969,0.757,-0.883,1.939874508e-08,2.453335632e-09,-6.174074e+01
605.861,0.893,-1.135,1.55601072e-08,1.987118496e-09,-5.004035e+01
607.577,1.025,-0.823,1.735736508e-08,2.170304532e-09,-5.467437e+01
609.403,0.865,-0.801,1.847929644e-08,2.432921832e-09,-6.133193e+01
611.134,0.906,-0.866,1.754285544e-08,2.284745364e-09,-5.760510e+01
613.062,0.846,-1.022,1.683076824e-08,2.168774388e-09,-5.468160e+01
614.716,0.875,-0.808,1.915025112e-08,2.392957908e-09,-6.030465e+01
616.573,0.914,-0.982,1.616162328e-08,2.152753416e-09,-5.420086e+01
618.365,0.600,-0.877,2.129188644e-08,2.751189012e-09,-6.917513e+01
619.711,0.834,-0.747,2.05448166e-08,2.550470076e-09,-6.403639e+01
621.587,1.140,-1.041,1.452783816e-08,1.862079912e-09,-4.670982e+01
623.732,0.909,-1.005,1.583802396e-08,2.141823024e-09,-5.369112e+01
625.508,0.720,-0.867,1.993243032e-08,2.565712116e-09,-6.409167e+01
627.078,0.917,-0.849,1.775637864e-08,2.310395076e-09,-5.769866e+01
628.843,0.608,-0.848,2.191609332e-08,2.78452152e-09,-6.974819e+01
630.465,0.934,-1.015,1.610269056e-08,2.083948812e-09,-5.232818e+01
632.549,0.924,-1.151,1.431958572e-08,1.97288784e-09,-4.961285e+01
634.468,0.989,-0.995,1.491655176e-08,2.054278512e-09,-5.168060e+01
636.484,1.127,-1.027,1.337083704e-08,1.901516364e-09,-4.787585e+01
638.933,0.904,-1.321,1.39981248e-08,1.806120756e-09,-4.548585e+01
640.786,0.880,-0.949,1.689214032e-08,2.201140656e-09,-5.546856e+01
642.626,0.944,-0.960,1.636207848e-08,2.109170844e-09,-5.316322e+01
644.495,0.914,-0.926,1.71834894e-08,2.169076932e-09,-5.467682e+01
646.175,1.077,-0.766,1.686782988e-08,2.173838436e-09,-5.480313e+01
648.447,1.123,-1.195,1.296234324e-08,1.742747688e-09,-4.394115e+01
650.444,0.988,-0.873,1.614702276e-08,2.170699344e-09,-5.473592e+01
652.208,1.090,-0.776,1.568244744e-08,2.180283336e-09,-5.491894e+01
654.276,0.933,-0.978,1.68106752e-08,2.119467636e-09,-5.294264e+01
656.040,0.763,-0.831,1.94166918e-08,2.57876388e-09,-6.443566e+01
657.657,0.930,-0.854,1.734516828e-08,2.303708616e-09,-5.756114e+01
659.580,1.003,-0.993,1.603399248e-08,2.043757584e-09,-5.102367e+01
661.405,0.810,-0.822,1.881047124e-08,2.520475056e-09,-6.309325e+01
663.103,0.946,-0.889,1.744922916e-08,2.215862352e-09,-5.553028e+01
664.844,0.852,-0.795,1.897218972e-08,2.454874092e-09,-6.165137e+01
666.717,1.010,-1.020,1.57032612e-08,1.967027436e-09,-4.946204e+01
